,zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
63,84073,40.35652,-110.435,Talmage,UT,Utah,TRUE,,296,6.7,49013,Duchesne,"{""49013"": ""100""}",Duchesne,49013,FALSE,FALSE,America/Denver
64,84074,40.55929,-112.27335,Tooele,UT,Utah,TRUE,,52153,184.4,49045,Tooele,"{""49045"": ""100""}",Tooele,49045,FALSE,FALSE,America/Denver
65,84075,41.08139,-112.07974,Syracuse,UT,Utah,TRUE,,29411,801.6,49011,Davis,"{""49011"": ""100""}",Davis,49011,FALSE,FALSE,America/Denver
66,84076,40.46648,-109.84551,Tridell,UT,Utah,TRUE,,412,8.9,49047,Uintah,"{""49047"": ""100""}",Uintah,49047,FALSE,FALSE,America/Denver
67,84078,40.62968,-109.48291,Vernal,UT,Utah,TRUE,,30207,12.6,49047,Uintah,"{""49047"": ""100"", ""49009"": ""0""}",Uintah|Daggett,49047|49009,FALSE,FALSE,America/Denver
68,84080,40.09995,-112.4301,Vernon,UT,Utah,TRUE,,329,3.6,49045,Tooele,"{""49045"": ""100""}",Tooele,49045,FALSE,FALSE,America/Denver
69,84081,40.60284,-112.03764,West Jordan,UT,Utah,TRUE,,49933,1317.4,49035,Salt Lake,"{""49035"": ""100""}",Salt Lake,49035,FALSE,FALSE,America/Denver
70,84082,40.36581,-111.39533,Wallsburg,UT,Utah,TRUE,,1026,3.7,49051,Wasatch,"{""49051"": ""100""}",Wasatch,49051,FALSE,FALSE,America/Denver
71,84083,40.86034,-113.67265,Wendover,UT,Utah,TRUE,,1202,0.2,49045,Tooele,"{""49045"": ""92.35"", ""49023"": ""6.46"", ""49003"": ""1.19""}",Tooele|Juab|Box Elder,49045|49023|49003,FALSE,FALSE,America/Denver
72,84084,40.62288,-111.96464,West Jordan,UT,Utah,TRUE,,38151,1908.7,49035,Salt Lake,"{""49035"": ""100""}",Salt Lake,49035,FALSE,FALSE,America/Denver
73,84085,40.58696,-109.92909,Whiterocks,UT,Utah,TRUE,,457,1.8,49047,Uintah,"{""49047"": ""100""}",Uintah,49047,FALSE,FALSE,America/Denver
74,84086,41.47983,-111.22871,Woodruff,UT,Utah,TRUE,,356,1.4,49033,Rich,"{""49033"": ""100""}",Rich,49033,FALSE,FALSE,America/Denver
75,84087,40.88573,-111.93128,Woods Cross,UT,Utah,TRUE,,15839,471.7,49011,Davis,"{""49011"": ""100""}",Davis,49011,FALSE,FALSE,America/Denver
76,84088,40.59515,-111.96092,West Jordan,UT,Utah,TRUE,,37014,1518.3,49035,Salt Lake,"{""49035"": ""100""}",Salt Lake,49035,FALSE,FALSE,America/Denver
77,84092,40.55778,-111.74311,Sandy,UT,Utah,TRUE,,29379,207.7,49035,Salt Lake,"{""49035"": ""100""}",Salt Lake,49035,FALSE,FALSE,America/Denver
78,84093,40.59475,-111.82855,Sandy,UT,Utah,TRUE,,23971,1703.8,49035,Salt Lake,"{""49035"": ""100""}",Salt Lake,49035,FALSE,FALSE,America/Denver
79,84094,40.57188,-111.86214,Sandy,UT,Utah,TRUE,,30427,2300.7,49035,Salt Lake,"{""49035"": ""100""}",Salt Lake,49035,FALSE,FALSE,America/Denver
80,84095,40.55724,-111.9789,South Jordan,UT,Utah,TRUE,,71427,1217.1,49035,Salt Lake,"{""49035"": ""100""}",Salt Lake,49035,FALSE,FALSE,America/Denver
81,84096,40.51368,-112.09853,Herriman,UT,Utah,TRUE,,51852,285.1,49035,Salt Lake,"{""49035"": ""100""}",Salt Lake,49035,FALSE,FALSE,America/Denver
82,84097,40.30481,-111.67313,Orem,UT,Utah,TRUE,,22405,1439.8,49049,Utah,"{""49049"": ""100""}",Utah,49049,FALSE,FALSE,America/Denver
