,,zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
43,25%,89084,36.2969,-115.17408,North Las Vegas,NV,Nevada,TRUE,,27773,979.1,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
44,25%,89085,36.30958,-115.19819,North Las Vegas,NV,Nevada,TRUE,,4156,3148.4,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
45,26%,89086,36.29227,-115.10844,North Las Vegas,NV,Nevada,TRUE,,6404,365.4,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
46,26%,89101,36.17251,-115.12228,Las Vegas,NV,Nevada,TRUE,,42592,3074.4,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
47,27%,89102,36.14535,-115.18684,Las Vegas,NV,Nevada,TRUE,,39449,2840.9,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
48,27%,89103,36.11179,-115.21172,Las Vegas,NV,Nevada,TRUE,,53732,3096.2,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
49,28%,89104,36.15136,-115.10856,Las Vegas,NV,Nevada,TRUE,,39443,2686,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
50,29%,89106,36.1817,-115.16325,Las Vegas,NV,Nevada,TRUE,,26480,1931.6,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
51,29%,89107,36.17066,-115.21028,Las Vegas,NV,Nevada,TRUE,,38936,2750.6,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
52,30%,89108,36.20531,-115.22367,Las Vegas,NV,Nevada,TRUE,,73991,3185.4,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
53,30%,89109,36.12535,-115.16372,Las Vegas,NV,Nevada,TRUE,,7859,681.4,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
54,31%,89110,36.17138,-115.04771,Las Vegas,NV,Nevada,TRUE,,71489,2485.5,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
55,31%,89113,36.06123,-115.2635,Las Vegas,NV,Nevada,TRUE,,32308,1119.2,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
56,32%,89115,36.25367,-115.041,Las Vegas,NV,Nevada,TRUE,,63084,975,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
57,33%,89117,36.14257,-115.28003,Las Vegas,NV,Nevada,TRUE,,54590,2308.8,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
58,33%,89118,36.07725,-115.21396,Las Vegas,NV,Nevada,TRUE,,21826,796.5,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
59,34%,89119,36.08476,-115.14614,Las Vegas,NV,Nevada,TRUE,,52378,1564.2,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
60,34%,89120,36.08132,-115.09546,Las Vegas,NV,Nevada,TRUE,,24813,1375.3,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
61,35%,89121,36.12152,-115.09127,Las Vegas,NV,Nevada,TRUE,,63190,2646.7,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
62,35%,89122,36.10639,-115.04028,Las Vegas,NV,Nevada,TRUE,,49600,2115.9,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
63,36%,89123,36.03525,-115.14874,Las Vegas,NV,Nevada,TRUE,,60679,2198.8,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
64,37%,89124,36.42582,-115.48089,Las Vegas,NV,Nevada,TRUE,,1362,0.4,32003,Clark,"{""32003"": ""98.3"", ""32023"": ""1.7""}",Clark|Nye,32003|32023,FALSE,FALSE,America/Los_Angeles
65,37%,89128,36.19682,-115.26436,Las Vegas,NV,Nevada,TRUE,,35666,2294.9,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
66,38%,89129,36.23331,-115.29016,Las Vegas,NV,Nevada,TRUE,,57116,2203.9,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
67,38%,89130,36.25405,-115.22708,Las Vegas,NV,Nevada,TRUE,,34697,1750.8,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
68,39%,89131,36.30619,-115.24268,Las Vegas,NV,Nevada,TRUE,,50564,1217.6,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
69,39%,89134,36.20274,-115.30777,Las Vegas,NV,Nevada,TRUE,,24363,1419.8,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
70,40%,89135,36.10099,-115.37588,Las Vegas,NV,Nevada,TRUE,,28192,238.7,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
71,41%,89138,36.16665,-115.36122,Las Vegas,NV,Nevada,TRUE,,17952,1647.4,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
72,41%,89139,36.03449,-115.21164,Las Vegas,NV,Nevada,TRUE,,40612,1478,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
73,42%,89141,35.98838,-115.20704,Las Vegas,NV,Nevada,TRUE,,35169,1271.9,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
74,42%,89142,36.1479,-115.03637,Las Vegas,NV,Nevada,TRUE,,34671,2811.5,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
75,43%,89143,36.32231,-115.29318,Las Vegas,NV,Nevada,TRUE,,13265,1497,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
76,43%,89144,36.1789,-115.32074,Las Vegas,NV,Nevada,TRUE,,19881,1955.3,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
77,44%,89145,36.1677,-115.27787,Las Vegas,NV,Nevada,TRUE,,25071,2107.7,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
78,45%,89146,36.14325,-115.22693,Las Vegas,NV,Nevada,TRUE,,18695,1504.7,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
79,45%,89147,36.1128,-115.28016,Las Vegas,NV,Nevada,TRUE,,55865,2911.2,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
80,46%,89148,36.0588,-115.31039,Las Vegas,NV,Nevada,TRUE,,55553,1740.8,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
81,46%,89149,36.27223,-115.29254,Las Vegas,NV,Nevada,TRUE,,39613,1273.3,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
82,47%,89156,36.16345,-114.98822,Las Vegas,NV,Nevada,TRUE,,29764,353.8,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
83,47%,89161,36.00035,-115.36387,Las Vegas,NV,Nevada,TRUE,,136,2.7,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
84,48%,89166,36.38065,-115.50689,Las Vegas,NV,Nevada,TRUE,,25245,50.5,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
85,49%,89169,36.12415,-115.14128,Las Vegas,NV,Nevada,TRUE,,21822,2482.9,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
86,49%,89178,35.99768,-115.28607,Las Vegas,NV,Nevada,TRUE,,40808,824.6,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
87,50%,89179,35.8946,-115.33187,Las Vegas,NV,Nevada,TRUE,,7449,24.2,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
88,50%,89183,35.99588,-115.15762,Las Vegas,NV,Nevada,TRUE,,42480,2340.1,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
89,51%,89191,36.23961,-115.02563,Nellis Afb,NV,Nevada,TRUE,,581,33.2,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
90,51%,89301,39.54452,-114.77305,Ely,NV,Nevada,TRUE,,8141,1.6,32033,White Pine,"{""32033"": ""100""}",White Pine,32033,FALSE,FALSE,America/Los_Angeles
91,52%,89310,39.41354,-117.16463,Austin,NV,Nevada,TRUE,,292,0,32015,Lander,"{""32015"": ""76.18"", ""32023"": ""23.82""}",Lander|Nye,32015|32023,FALSE,FALSE,America/Los_Angeles
92,53%,89311,38.98711,-114.19431,Baker,NV,Nevada,TRUE,,124,0.2,32033,White Pine,"{""32033"": ""100""}",White Pine,32033,FALSE,FALSE,America/Los_Angeles
93,53%,89314,38.85481,-115.76709,Duckwater,NV,Nevada,TRUE,,313,0.7,32023,Nye,"{""32023"": ""100""}",Nye,32023,FALSE,FALSE,America/Los_Angeles
94,54%,89316,39.63087,-116.17716,Eureka,NV,Nevada,TRUE,,1218,0.3,32011,Eureka,"{""32011"": ""96.59"", ""32033"": ""2.91"", ""32023"": ""0.5""}",Eureka|White Pine|Nye,32011|32033|32023,FALSE,FALSE,America/Los_Angeles
95,54%,89317,38.65835,-115.09913,Lund,NV,Nevada,TRUE,,268,1.1,32033,White Pine,"{""32033"": ""96.02"", ""32023"": ""3.98""}",White Pine|Nye,32033|32023,FALSE,FALSE,America/Los_Angeles
96,55%,89318,39.43856,-114.80356,McGill,NV,Nevada,TRUE,,990,13.6,32033,White Pine,"{""32033"": ""100""}",White Pine,32033,FALSE,FALSE,America/Los_Angeles
97,55%,89319,39.29631,-114.97601,Ruth,NV,Nevada,TRUE,,132,4.8,32033,White Pine,"{""32033"": ""100""}",White Pine,32033,FALSE,FALSE,America/Los_Angeles
98,56%,89402,39.22549,-120.00295,Crystal Bay,NV,Nevada,TRUE,,16,59.4,32031,Washoe,"{""32031"": ""100""}",Washoe,32031,FALSE,FALSE,America/Los_Angeles
99,57%,89403,39.19832,-119.47024,Dayton,NV,Nevada,TRUE,,15531,29.7,32019,Lyon,"{""32019"": ""95.19"", ""32029"": ""4.81""}",Lyon|Storey,32019|32029,FALSE,FALSE,America/Los_Angeles
100,57%,89404,41.88683,-118.70584,Denio,NV,Nevada,TRUE,,0,0,32013,Humboldt,"{""32013"": ""100""}",Humboldt,32013,FALSE,FALSE,America/Los_Angeles
101,58%,89405,40.48051,-119.42448,Empire,NV,Nevada,TRUE,,134,0.1,32031,Washoe,"{""32031"": ""99.58"", ""32027"": ""0.42""}",Washoe|Pershing,32031|32027,FALSE,FALSE,America/Los_Angeles
102,58%,89406,39.52221,-118.31663,Fallon,NV,Nevada,TRUE,,24213,6,32001,Churchill,"{""32001"": ""99.99"", ""32019"": ""0.01""}",Churchill|Lyon,32001|32019,FALSE,FALSE,America/Los_Angeles
103,59%,89408,39.5641,-119.17158,Fernley,NV,Nevada,TRUE,,20439,53.2,32019,Lyon,"{""32019"": ""99.45"", ""32001"": ""0.55""}",Lyon|Churchill,32019|32001,FALSE,FALSE,America/Los_Angeles
104,59%,89409,38.78468,-118.10324,Gabbs,NV,Nevada,TRUE,,109,0.1,32023,Nye,"{""32023"": ""98.59"", ""32021"": ""1.41""}",Nye|Mineral,32023|32021,FALSE,FALSE,America/Los_Angeles
105,60%,89410,38.87028,-119.61147,Gardnerville,NV,Nevada,TRUE,,11191,24.8,32005,Douglas,"{""32005"": ""100""}",Douglas,32005,FALSE,FALSE,America/Los_Angeles
106,61%,89411,39.01902,-119.85021,Genoa,NV,Nevada,TRUE,,643,10.9,32005,Douglas,"{""32005"": ""100""}",Douglas,32005,FALSE,FALSE,America/Los_Angeles
107,61%,89412,41.10776,-119.69948,Gerlach,NV,Nevada,TRUE,,114,0,32031,Washoe,"{""32031"": ""97.22"", ""32013"": ""2.78""}",Washoe|Humboldt,32031|32013,FALSE,FALSE,America/Los_Angeles
108,62%,89413,39.07389,-119.92096,Glenbrook,NV,Nevada,TRUE,,725,17.7,32005,Douglas,"{""32005"": ""100""}",Douglas,32005,FALSE,FALSE,America/Los_Angeles
109,62%,89414,41.04623,-117.17819,Golconda,NV,Nevada,TRUE,,154,0.1,32013,Humboldt,"{""32013"": ""86.82"", ""32007"": ""13.18""}",Humboldt|Elko,32013|32007,FALSE,FALSE,America/Los_Angeles
110,63%,89415,38.48546,-118.6415,Hawthorne,NV,Nevada,TRUE,,3043,3.9,32021,Mineral,"{""32021"": ""100""}",Mineral,32021,FALSE,FALSE,America/Los_Angeles
111,63%,89418,40.54841,-118.03436,Imlay,NV,Nevada,TRUE,,306,0.4,32027,Pershing,"{""32027"": ""100""}",Pershing,32027,FALSE,FALSE,America/Los_Angeles
112,64%,89419,40.2717,-118.179,Lovelock,NV,Nevada,TRUE,,5549,4.6,32027,Pershing,"{""32027"": ""100""}",Pershing,32027,FALSE,FALSE,America/Los_Angeles
113,65%,89420,38.54458,-118.22671,Luning,NV,Nevada,TRUE,,55,0.7,32021,Mineral,"{""32021"": ""100""}",Mineral,32021,FALSE,FALSE,America/Los_Angeles
114,65%,89421,42.05134,-117.90083,McDermitt,NV,Nevada,TRUE,,496,0.2,32013,Humboldt,"{""32013"": ""85.33"", ""41045"": ""14.67""}",Humboldt|Malheur,32013|41045,FALSE,FALSE,America/Los_Angeles
115,66%,89422,38.17367,-118.41484,Mina,NV,Nevada,TRUE,,182,0.2,32021,Mineral,"{""32021"": ""100""}",Mineral,32021,FALSE,FALSE,America/Los_Angeles
116,66%,89423,39.01761,-119.74877,Minden,NV,Nevada,TRUE,,10283,57.3,32005,Douglas,"{""32005"": ""100""}",Douglas,32005,FALSE,FALSE,America/Los_Angeles
117,67%,89424,39.851,-119.32368,Nixon,NV,Nevada,TRUE,,209,0.3,32031,Washoe,"{""32031"": ""100""}",Washoe,32031,FALSE,FALSE,America/Los_Angeles
118,67%,89425,41.66538,-117.90827,Orovada,NV,Nevada,TRUE,,312,0.2,32013,Humboldt,"{""32013"": ""100""}",Humboldt,32013,FALSE,FALSE,America/Los_Angeles
119,68%,89426,41.48814,-117.43099,Paradise Valley,NV,Nevada,TRUE,,174,0.2,32013,Humboldt,"{""32013"": ""100""}",Humboldt,32013,FALSE,FALSE,America/Los_Angeles
120,69%,89427,38.92055,-118.70037,Schurz,NV,Nevada,TRUE,,1162,1.8,32021,Mineral,"{""32021"": ""100""}",Mineral,32021,FALSE,FALSE,America/Los_Angeles
121,69%,89428,39.26102,-119.63457,Silver City,NV,Nevada,TRUE,,158,49.7,32019,Lyon,"{""32019"": ""100""}",Lyon,32019,FALSE,FALSE,America/Los_Angeles
122,70%,89429,39.36397,-119.30531,Silver Springs,NV,Nevada,TRUE,,7715,17.7,32019,Lyon,"{""32019"": ""100""}",Lyon,32019,FALSE,FALSE,America/Los_Angeles
123,70%,89430,38.7751,-119.30508,Smith,NV,Nevada,TRUE,,308,3,32019,Lyon,"{""32019"": ""100""}",Lyon,32019,FALSE,FALSE,America/Los_Angeles
124,71%,89431,39.54046,-119.7495,Sparks,NV,Nevada,TRUE,,39042,1557.1,32031,Washoe,"{""32031"": ""100""}",Washoe,32031,FALSE,FALSE,America/Los_Angeles
